DateTime,entity,current1,current2,pressure1,pressure2,rate1,rate2,temperature1,temperature2,torque1,torque2
2016-02-17T10:30:00.000000Z,machine1,9.3545,1.3157,-2.6817,6.4624,0.12413,-3.8967,-11.011,8.0965,-9.0006,-8.99
2016-02-17T10:31:09.120000Z,machine1,9.1433,0.3277,-2.0546,6.5922,0.20237,-3.916,-9.0573,8.6154,-8.216,-9.5801
2016-02-17T10:32:18.240000Z,machine1,8.6976,0.32637,-1.6749,5.5818,0.9197,-4.1857,-7.3451,8.099,-7.072,-10.45
2016-02-17T10:33:27.360000Z,machine1,8.3255,-0.059598,-1.7389,4.9751,0.73418,-3.9905,-5.4056,5.7515,-8.8167,-10.143
2016-02-17T10:34:36.480000Z,machine1,8.0732,-1.1857,-1.0738,6.092,0.81724,-4.0928,-3.491,3.6313,-9.7557,-11.647
2016-02-17T10:35:45.600000Z,machine1,8.376,-1.4058,0.18263,5.6287,0.16384,-3.8295,-1.4806,1.8854,-9.1124,-12.015
2016-02-17T10:36:54.720000Z,machine1,8.5216,-2.2362,0.57881,5.3868,-0.68398,-4.5293,1.0152,0.34949,-9.9186,-11.128
2016-02-17T10:38:03.840000Z,machine1,8.5665,-1.7289,-0.3317,6.0641,-0.40127,-4.4088,1.2269,1.4738,-8.8785,-10.745
2016-02-17T10:39:12.960000Z,machine1,8.7622,-1.7787,-0.43166,6.6224,0.066978,-4.264,0.66841,2.7597,-8.7937,-9.4913
2016-02-17T10:40:22.080000Z,machine1,8.7942,-1.8564,-0.38095,6.256,-0.47866,-4.6508,-1.1927,4.2242,-9.1378,-9.3638
2016-02-17T10:41:31.200000Z,machine1,9.252,-2.6538,-0.32523,5.681,-0.35629,-4.8209,-2.6944,5.3319,-9.7217,-9.0466
2016-02-17T10:42:40.320000Z,machine1,9.2215,-2.5958,-0.81904,5.6224,-0.52318,-4.0622,-5.4055,6.5374,-9.1658,-8.7396
2016-02-17T10:43:49.440000Z,machine1,8.5248,-1.4075,-1.0584,5.9655,-0.13017,-4.5355,-7.7755,7.0521,-8.2678,-9.3868
2016-02-17T10:44:58.560000Z,machine1,8.3484,-1.0712,-0.8515,5.7851,-0.37941,-4.2238,-9.756,8.7238,-7.1154,-10.057
2016-02-17T10:46:07.680000Z,machine1,8.3468,-0.42924,-0.44005,5.8064,0.13462,-4.0657,-10.231,9.9485,-5.899,-8.2845
2016-02-17T10:47:16.800000Z,machine1,8.7851,0.19019,-0.66009,6.0067,0.27668,-4.5036,-10.244,9.6321,-4.457,-6.4188
2016-02-17T10:48:25.920000Z,machine1,8.8439,0.30593,-1.2588,6.5983,0.11771,-4.197,-10.516,10.574,-3.3606,-4.9308
2016-02-17T10:49:35.040000Z,machine1,9.0423,0.85602,-1.9705,6.6346,0.43951,-4.1641,-10.623,11.008,-1.8132,-2.594
2016-02-17T10:50:44.160000Z,machine1,9.2551,1.4346,-1.9417,6.1085,0.62716,-4.1796,-10.072,10.65,0.4613,-0.47283
2016-02-17T10:51:53.280000Z,machine1,8.8699,1.9268,-2.8414,6.0494,0.85783,-3.6927,-10.937,10.175,1.1127,-0.9259
2016-02-17T10:53:02.400000Z,machine1,8.6259,2.4026,-2.9841,5.8305,0.6218,-3.9711,-9.8234,8.4862,0.32335,-2.024
2016-02-17T10:54:11.520000Z,machine1,8.7217,2.1648,-2.4552,6.0137,0.56541,-3.8741,-9.1279,8.5467,-1.6058,-4.1122
2016-02-17T10:55:20.640000Z,machine1,8.9726,1.8792,-2.583,6.8286,0.24305,-3.7375,-9.7329,8.4849,-3.092,-5.1984
2016-02-17T10:56:29.760000Z,machine1,9.2981,1.4094,-2.1915,6.6017,0.37018,-4.0443,-10.494,8.7784,-5.7477,-7.3509
2016-02-17T10:57:38.880000Z,machine1,9.2734,0.97209,-2.8514,6.11,0.49941,-3.8888,-9.6655,8.9158,-8.2684,-9.3244
2016-02-17T10:58:48.000000Z,machine1,9.0876,0.8787,-2.4754,6.2924,1.1043,-3.8419,-7.845,7.9624,-8.9355,-9.4851
2016-02-17T10:59:57.120000Z,machine1,8.4125,0.22253,-1.8212,5.9719,1.3171,-4.1579,-6.4927,7.9523,-8.2865,-10.779
2016-02-17T11:01:06.240000Z,machine1,7.9036,-0.30632,-1.4057,5.4257,-0.23707,-3.0625,-5.0284,6.3839,-8.9602,-10.755
2016-02-17T11:02:15.360000Z,machine1,8.2842,-0.73507,-1.8003,5.4603,-0.098777,-4.6289,-3.3719,3.7069,-9.2318,-11.873
